State,District,Latitude,Longitude,Population in 2001,Population in 2011,Literate,Male_Literate,Female_Literate,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439255,1849283,2090922,1294198,731294,562904,158956,8235,8969,138316,150476,14617
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,1083949,1264219,747715,445737,301978,116361,3031,2473,66044,104780,3985
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,664159,786754,491445,303815,187630,65191,2897,1382,55966,89056,2229
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970156,1308223,1563715,925369,550716,374653,117794,9017,7862,124826,168269,10372
Madhya Pradesh,Dhar,22.57268171896316,75.1105620736698,1740329,2185793,1077338,638479,438859,114497,8080,5900,123750,183741,10365
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,580730,704524,378714,222759,155955,26743,1291,754,13765,25956,1438
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,977827,1241519,653980,400537,253443,76571,5968,4802,80642,120895,5706
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,1632109,2032036,1357210,803114,554096,194763,21313,30277,232840,253163,24616
Madhya Pradesh,Harda,22.227659781121783,77.07022571819434,474416,570465,352550,203807,148743,29025,3556,2269,45661,63615,2775
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,1084265,1241350,810644,469199,341445,106654,7335,7754,112371,138517,7611
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,2465827,3276697,2309130,1289631,1019499,318881,64865,88099,464337,479762,61876
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,2151203,2463289,1756468,980307,776161,271469,26487,40531,285248,274726,29449
Madhya Pradesh,Jhabua,22.419578015397764,74.4092161676647,784286,1025048,352081,214582,137499,31319,2215,1718,22470,60130,2661
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,1064167,1292042,790773,460583,330190,133962,3958,4652,76207,100862,4990
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,894236,1054905,604962,348033,256929,80798,2246,2156,40591,51683,3516
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,1183724,1340411,834591,502898,331693,123272,5435,5253,109904,166980,12689
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,1592714,1965970,1179685,747652,432033,172169,5829,3354,89156,195957,4355
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,726070,826067,508834,307889,200945,84293,4498,4382,73279,105328,10771
Madhya Pradesh,Panna,24.45132584009265,80.21133001158752,856558,1016520,552559,332140,220419,96258,2219,1301,30800,82991,2054
Madhya Pradesh,Raisen,23.292518206521727,78.16305495923909,1125154,1331597,820220,479093,341127,64233,6017,2842,87258,133315,3143
Madhya Pradesh,Rajgarh,23.785499026425587,76.66431223922115,1254085,1545814,804245,488797,315448,85879,4185,2597,76942,150010,5656
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,1215393,1455069,825880,485090,340790,106605,5757,7825,107463,146318,12153
Madhya Pradesh,Rewa,24.86118462515885,81.57572465057183,1973306,2365106,1441757,845572,596185,302445,11833,6849,109351,237937,10542
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771274,2021987,2378458,1545719,908607,637112,174324,11291,10066,160622,213013,11125
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,1870104,2228935,1371781,801051,570730,251079,9401,7853,117176,212078,11987
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883084,1078912,1311332,780362,469208,311154,82644,6041,3694,100011,141356,7295
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,1166608,1379131,864194,485341,378853,140883,4048,2951,66919,84804,6431
Madhya Pradesh,Shahdol,23.448598645598192,81.4596831828442,908148,1066063,604194,348761,255433,132313,3819,3472,45685,72253,3684
Madhya Pradesh,Shajapur,23.56662031722055,76.33555181268885,1290685,1512681,894612,543509,351103,105728,4200,3344,88946,160720,7213
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,559495,687861,328025,208201,119824,32178,1634,698,29266,57366,1332
Madhya Pradesh,Shivpuri,25.378024518743672,77.74861600810549,1406031,1726050,900846,573242,327604,125237,5417,3913,71501,148509,5680
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,910983,1127033,600785,353030,247755,90963,3320,1208,26502,82709,2097
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,1202998,1445166,747940,459353,288587,153933,4139,2393,62828,140118,2830
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,1710982,1986864,1240990,730817,510173,163671,12167,16645,181659,248508,22041
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,515963,644758,356672,210907,145765,66004,1873,1527,22502,39260,2139
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,1214857,1458875,862918,512344,350574,70884,5682,4922,96565,150643,6742
Maharashtra,Akola,20.746310479041902,77.12122320359276,1629633,1813906,1411281,758977,652304,126856,9037,11896,176674,195210,16617
Maharashtra,Amravati,21.16520991810736,77.67583503184724,2607160,2888445,2251875,1207104,1044771,211384,15285,18992,302188,295756,31416
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2902602,3701282,1466002,868733,597269,195301,7145,2292,45871,235248,5268
Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,2902602,3701282,2503837,1430936,1072901,192027,33322,43514,403594,526483,37266
Maharashtra,Bhandara,21.211792649727744,80.10950199637023,1136146,1200334,899860,488709,411151,182892,5184,5536,117299,131424,10568
Maharashtra,Chandrapur,20.095609090909072,79.31556380471388,2071101,2204307,1578615,872565,706050,248585,12746,16949,229635,250418,21209
Maharashtra,Dhule,21.274018690400517,74.58719071837263,1707947,2050862,1293916,723388,570528,107616,10912,12022,174524,210557,18343
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,987160,1177345,790743,450551,340192,48246,3833,2130,73640,134812,4797
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,3682690,4229917,2891882,1629223,1262659,229955,19560,26385,431221,459652,58630
Maharashtra,Jalna,19.984612534818933,75.98473607242339,1607391,1959046,1195523,699428,496095,84022,8400,6111,158182,255420,32267
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,3523162,3876001,2825845,1559760,1266085,383946,49081,45061,507573,595768,89659
Maharashtra,Latur,18.348687268993853,76.75812607802874,2080285,2454196,1650672,932432,718240,108626,13150,10060,190739,302745,23165
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,4067637,4653570,3673808,1959220,1714588,577214,71592,106415,728714,719955,91604
Maharashtra,Nanded,19.209316983017,77.6829048951049,2876259,3361292,2189425,1255222,934203,109371,12341,12589,216364,384823,21313
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,1311709,1648295,906509,512099,394410,40529,6135,4587,83144,101758,9349
Maharashtra,Nashik,20.266912871287147,74.03824168316828,4993796,6107187,4345366,2397538,1947828,400486,79590,89201,630639,798663,73768
Maharashtra,Osmanabad,18.19459456066944,75.9949557531381,1486586,1657576,1137810,644304,493506,93061,7974,4182,117741,200323,14906
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,1527715,1836086,1157814,666291,491523,82350,6973,6057,135933,224888,13530
Maharashtra,Pune,18.51696171428573,74.12922881632646,7232555,9429408,7171723,3940210,3231513,735590,273326,382527,1555272,1792197,210257
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866405,1696777,1615069,1199392,619012,580380,49177,15191,13304,163470,258015,46494
Maharashtra,Sangli,17.154930181086502,74.70713822937628,2583524,2822143,2049467,1121550,927917,335852,29515,26191,310230,415009,52357
Maharashtra,Satara,17.6737908974359,74.18052064102558,2808994,3003741,2225694,1201034,1024660,246949,36046,31351,374085,463058,50076
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172344,868825,849651,666067,348289,317778,39669,9264,6101,98475,131855,20150
Maharashtra,Solapur,17.837357937584812,75.42394823609216,3849543,4317756,2910676,1651266,1259410,419488,28219,27734,376000,576726,40507
Maharashtra,Thane,19.698767747440268,72.79882742564581,8131849,11060148,8227161,4591396,3635765,403936,172210,255987,1741244,2011713,330833
Maharashtra,Wardha,20.80743024390242,78.57259105691062,1236736,1300774,1019458,552617,466841,129060,6970,8251,170620,166398,16802
Maharashtra,Washim,20.282282394366213,77.25502394366208,1020822,1197160,869917,487703,382214,66675,3623,2868,97022,125662,6965
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,2458271,2772348,2022574,1115980,906594,168661,12132,11514,245261,279184,19991
Manipur,Bishnupur,24.507121118012428,93.8246236024845,208368,237399,156333,87313,69020,25026,2009,848,23140,28217,843
Manipur,Chandel,24.2635812987013,94.09443844155844,118327,144182,90302,51053,39249,7705,908,336,8319,12428,553
Manipur,Churachandpur,24.30309718875504,93.38671506024085,227905,274143,195935,104013,91922,12613,1807,1484,17498,24266,1382
Manipur,Senapati,25.08465586034914,94.03366234413956,283621,479148,264477,148012,116465,6761,827,264,9623,13568,484
Manipur,Tamenglong,24.98312942238265,93.49450740072204,111499,140651,85006,47403,37603,826,495,152,5233,6037,475
Manipur,Thoubal,24.54539255319149,93.97959893617023,364140,422168,269304,152617,116687,57139,3141,1189,34893,48254,1422
Manipur,Ukhrul,25.05900314960629,94.44129566929138,140778,183998,129829,70148,59681,1275,1107,260,7360,12142,490
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,252399,317917,192147,102513,89634,22238,1167,547,15115,15314,705
Meghalaya,East Khasi Hills,25.303763888888888,91.75922519841272,660923,825922,578030,287270,290760,5188,15048,9037,79933,93619,5907
Meghalaya,Jaintia Hills,25.33959557069844,92.376081601363,299108,395124,187527,87371,100156,1826,4790,888,17352,30613,654
Meghalaya,South Garo Hills,25.24056857855361,90.64560349127176,110244,142334,82062,45003,37059,2581,695,199,6721,6235,470
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089943,507309,643291,358702,193438,165264,32839,3589,2270,35051,45766,3620
Meghalaya,West Khasi Hills,25.50088992673993,91.25364542124538,296049,383461,230678,117307,113371,3325,1683,210,12548,19192,675
Mizoram,Aizawl,23.90781335453101,92.85359459459472,325676,400309,340595,169547,171048,4713,9581,11817,59257,73438,8462
Mizoram,Champhai,23.541665809768663,93.24221799485862,107793,125745,100802,51440,49362,911,1237,911,13445,19039,1338
Mizoram,Kolasib,24.2020004347826,92.73470391304348,65960,83955,65895,34147,31748,1119,867,908,8392,12841,1288
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,87592,117894,62861,36444,26417,487,631,392,6657,7895,870
Mizoram,Lunglei,23.007717036172675,92.63512555425892,137223,161428,121122,64515,56607,1020,1982,1814,15871,21471,1851
Mizoram,Mamit,23.73852942502819,92.4330803833147,62785,86364,60191,32977,27214,550,565,388,6263,10031,467
Mizoram,Saiha,22.35744801061008,93.02827931034489,47084,56574,42233,21861,20372,143,507,322,4797,5856,591
Mizoram,Serchhip,23.263864705882344,92.914158496732,54460,64937,54476,27598,26878,482,702,492,7043,10185,941
Nagaland,Dimapur,25.81417681159423,93.75074057971014,308429,378811,278037,150142,127895,18820,10008,6070,50453,60055,4861
Nagaland,Kohima,25.603114285714284,93.78600657596373,219913,267988,197489,107038,90451,1472,8428,4116,29077,38531,1884
Nagaland,Mokokchung,26.47891176470589,94.522426006192,232085,194622,159494,83479,76015,2132,3805,1101,20192,22667,1683
Nagaland,Mon,26.692073743016763,95.03072988826828,260652,250260,119626,67432,52194,2148,1007,233,5647,13012,476
Nagaland,Phek,25.632729865771815,94.56814563758392,148195,163418,105893,57926,47967,549,1780,406,9553,17005,1100
Nagaland,Tuensang,26.21104453280316,94.85809880715708,186003,196596,117511,63653,53858,355,1063,208,7687,13878,541
Nagaland,Wokha,26.20261155115511,94.1990815181518,161223,166343,128208,67385,60823,2907,1592,429,10923,14850,552
Nagaland,Zunheboto,26.028178205128214,94.50026666666668,154598,140757,102881,53504,49377,713,2258,424,9954,15491,940
Punjab,Amritsar,31.54867982062777,74.79883856502238,2157020,2490656,1684770,932981,751789,286368,56185,49521,413460,379572,39155
Punjab,Bathinda,30.190524611973352,75.05685898004437,1183295,1388525,844868,488261,356607,176384,36173,24238,204051,215302,29316
Punjab,Faridkot,30.591187250996025,74.79751553784862,550892,617508,381285,215767,165518,82761,15528,9745,93053,95758,16563
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,538470,600163,426033,238696,187337,84834,18239,11551,98080,98401,16153
Punjab,Firozpur,30.63407535211269,74.40245732394365,1746107,2029074,1227511,707070,520441,237901,37105,22046,277615,290671,35063
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,2103455,2298323,1634719,907660,727059,280874,32484,26895,365644,336075,49386
Punjab,Hoshiarpur,31.551571698113197,75.8469857442349,1481292,1586625,1199699,637927,561772,227316,33720,27207,285904,278411,59253
Punjab,Jalandhar,31.25033690721651,75.54400350515463,1962761,2193590,1622537,882581,739956,286365,72374,65696,401189,395069,79140
Punjab,Kapurthala,31.33659263803684,75.47641165644177,754521,815168,576567,316254,260313,107044,23561,18981,144945,145116,24128
Punjab,Ludhiana,30.76596397379912,75.83110851528383,3032831,3498739,2560225,1428348,1131877,461137,120172,101595,604959,606726,115834
Punjab,Mansa,29.919547714285727,75.4304922857143,688758,769751,423560,244037,179523,90845,12805,6347,102314,111889,10368
Punjab,Moga,30.756540067340065,75.16008451178449,894793,995746,627889,348549,279340,140084,26253,15888,152610,155841,22668
Punjab,Patiala,30.214540380693364,76.27505893949697,1584780,1895686,1266791,711052,555739,253101,57008,46072,308440,303548,42077
Punjab,Rupnagar,30.91093733075435,76.53743500967127,628846,684627,502731,278534,224197,95548,17248,13714,111937,114425,19540
Punjab,Sangrur,30.18504520433689,75.89437014178496,1473242,1655169,1002077,570413,431664,240629,35264,23004,244837,252535,56086
Rajasthan,Ajmer,26.199300378787907,74.6990419191919,2178447,2583052,1526673,926268,600405,187324,24509,29286,250461,363250,40909
Rajasthan,Alwar,27.55271738035265,76.65359630562563,2991552,3674179,2182476,1359829,822647,242678,30207,22416,258862,477446,33184
Rajasthan,Banswara,23.45364203296701,74.44246868131869,1420601,1797485,829343,513854,315489,39865,5287,4888,48693,108760,8885
Rajasthan,Baran,24.98023243243244,76.86210651828291,1021473,1222755,693307,432607,260700,61129,5741,3107,88344,150412,5247
Rajasthan,Barmer,25.77070908045978,71.50297126436782,1964835,2603751,1188322,783461,404861,47366,27009,5298,52926,299183,13507
Rajasthan,Bharatpur,27.32411858037578,77.21752077244258,2100020,2548462,1480869,943910,536959,152915,10349,8429,160190,303255,14311
Rajasthan,Bhilwara,25.45119767759564,74.63947595628417,2020969,2408523,1256126,777582,478544,212245,17508,13309,175393,341043,27770
Rajasthan,Bikaner,28.124890683229808,73.2694332298137,1696039,2363937,1278801,782399,496402,97914,17113,15765,138480,287946,19699
Rajasthan,Bundi,25.48580716049379,75.79984074074079,962620,1110906,585044,371705,213339,86810,5787,3132,78692,143433,7851
Rajasthan,Churu,28.29330375536484,74.65846427038629,1902110,2039547,1149269,696729,452540,46531,9938,4720,131174,268431,20477
Rajasthan,Dausa,26.912348176291808,76.57342097264443,1323002,1634409,938051,596935,341116,84799,6664,3856,82113,202591,7819
Rajasthan,Dungarpur,23.75104807692308,73.84765641025645,1107643,1388552,681591,415820,265771,18435,4385,3252,46510,115373,7432
Rajasthan,Hanumangarh,29.181335179153105,74.74632573289902,1518005,1774692,1034136,624281,409855,93418,16537,7808,140280,249474,22065
Rajasthan,Jaipur,27.03345929018789,75.77117286012533,5251071,6626178,4300965,2554793,1746172,393025,142866,141437,764302,974168,128107
Rajasthan,Jaisalmer,26.86900838548185,71.18371877346682,508247,669919,308653,210415,98238,11291,5218,1426,19388,81102,4016
Rajasthan,Jhalawar,24.24725541474657,76.11242891705066,1180323,1411129,739792,466815,272977,81160,5385,3516,96225,167020,9194
Rajasthan,Jodhpur,26.678460838536967,73.00450847457628,2886505,3687165,2031532,1265753,765779,193641,40768,35071,246002,491165,42174
Rajasthan,Karauli,26.51901555555556,76.96081818181815,1205888,1458248,805849,531904,273945,52008,3820,2021,49752,166652,6011
Rajasthan,Kota,25.17571808000001,76.18618928000002,1568705,1951014,1298345,765396,532949,150716,24848,25780,236764,283909,27038
Rajasthan,Nagaur,27.078620160481464,74.14215667001012,2775058,3307743,1758624,1102750,655874,90046,26150,9194,184518,465022,27155
Rajasthan,Pali,25.80490393541874,73.55285640766905,1820251,2037573,1085693,667381,418312,175945,14175,8336,154761,316935,28588
Rajasthan,Rajsamand,25.248947674418588,73.96570215946844,982523,1156597,619139,383334,235805,65503,7060,4460,80267,168164,9554
Rajasthan,Sawai Madhopur,26.251081180223288,76.4219283891548,1117057,1335551,741748,486184,255564,66594,4398,3526,61935,171024,8356
Rajasthan,Sikar,27.646440586419764,75.29317422839503,2287788,2677333,1652117,995275,656842,76325,22494,10754,218772,384989,34184
Rajasthan,Sirohi,24.7976905263158,72.75309131578945,851107,1036346,476806,309900,166906,52893,6343,4483,65197,125006,9105
Rajasthan,Tonk,26.15393507170793,75.79192216427637,1211671,1421326,749659,478329,271330,93547,6295,4140,83447,189703,10528
Rajasthan,Udaipur,24.440767521367487,73.84029839743584,2481201,3068420,1582629,973444,609185,145780,27979,27786,180282,330546,32475
Tamil Nadu,Ariyalur,11.190514836795256,79.22249643916912,695524,754894,480604,269582,211022,104900,2937,3046,165150,134358,7216
Tamil Nadu,Chennai,13.058098905608746,80.28139151846807,4343645,4646732,3776276,1968079,1808197,409796,146388,264763,1055696,1017122,214074
Tamil Nadu,Coimbatore,10.871376995940452,77.0761901217862,2916620,3458045,2635907,1394790,1241117,353990,87211,109489,841918,777347,90704
Tamil Nadu,Cuddalore,11.57587300613498,79.63002365371497,2285395,2605914,1815281,1000322,814959,343988,19828,27077,555029,470021,29494
Tamil Nadu,Dharmapuri,12.300141200000004,78.11509813333339,1295182,1506843,917709,527599,390110,164521,5843,7687,310765,258752,16103
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,1923014,2159775,1481834,816180,665654,222834,15538,15800,458486,379839,20547
Tamil Nadu,Erode,11.267012155963302,77.42034334862393,2016582,2251744,1492662,828300,664362,368604,33405,37339,557479,483430,54771
Tamil Nadu,Karur,10.79532776617955,78.08749686847605,935686,1064493,727044,401726,325318,153941,10648,10393,250010,210748,13620
Tamil Nadu,Madurai,9.904313833333331,78.0136603333333,2578201,3038252,2273430,1223810,1049620,325803,30852,54832,708942,618922,47472
Tamil Nadu,Nagapattinam,10.789468161718288,79.79437299431483,1488839,1616450,1213008,640916,572092,219886,9042,9238,362211,282418,35755
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,1493462,1726601,1176131,653312,522819,262313,18550,19466,418420,352439,29271
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,493646,565223,375823,208011,167812,59863,2259,2687,125953,103116,5841
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,1459601,1618345,1110545,608776,501769,209024,7882,8191,324444,286329,18996
Tamil Nadu,Ramanathapuram,9.31286995153476,78.99185362412462,1187604,1353445,978946,536487,442459,125445,5524,5886,284169,252000,16266
Tamil Nadu,Salem,11.629324202127654,78.2478257978723,3016346,3482056,2285562,1285107,1000455,441388,30660,39279,749932,650064,46638
Tamil Nadu,Sivaganga,9.960306580645158,78.56535729032254,1155356,1339101,959744,526304,433440,172619,8222,10799,304124,258837,20071
Tamil Nadu,Thanjavur,10.387692255892237,79.3194869107745,2216138,2405890,1790998,944264,846734,343328,17231,24121,522490,446982,42853
Tamil Nadu,Theni,9.924066666666668,77.43458833333331,1093950,1245899,870080,479403,390677,99044,6607,6570,291879,209456,10191
Tamil Nadu,Tiruvannamalai,12.419318947368414,79.23265631578953,2186125,2464875,1626813,909803,717010,309133,7851,10740,505170,389329,19983
Tamil Nadu,Vellore,12.78488263229308,79.02643283582084,3477317,3936331,2773928,1504355,1269573,491133,20393,36342,797713,653681,45832
Tamil Nadu,Virudhunagar,9.468872195892564,77.87641469194315,1751301,1942288,1398788,760375,638413,282826,9845,17403,457317,353909,23643
Tripura,Dhalai,23.781360477941163,91.94654283088232,310598,378230,276217,151643,124574,22716,907,338,24750,25563,2013
Tripura,North Tripura,24.121739755351683,92.17842538226292,590913,693947,520402,275646,244756,42636,2726,1215,43755,63308,4970
Tripura,South Tripura,23.211874098057383,91.6065807585568,764710,876001,646810,351082,295728,83598,3454,1254,78159,87445,5076
Tripura,West Tripura,23.780166241299334,91.41310788863107,1532982,1725739,1361354,722998,638356,182610,11356,9977,231324,228799,15422
Uttar Pradesh,Agra,26.995129749103928,78.05278291517321,3621702,4418797,2680510,1614594,1065916,444212,44989,47935,433913,520896,26713
Uttar Pradesh,Aligarh,27.937485768500927,78.00146831119557,2992286,3673889,2092567,1283380,809187,364661,21667,23011,262098,445913,14169
Uttar Pradesh,Allahabad,25.392038662316445,82.05172446982063,4937266,5954391,3665727,2199340,1466387,701941,41965,37832,355913,616743,25302
Uttar Pradesh,Ambedkar Nagar,26.39119025974028,82.68282142857147,2026876,2397888,1486939,846676,640263,311614,9813,3412,61470,255512,5974
Uttar Pradesh,Auraiya,26.668923940149607,79.42637057356606,1179993,1379545,930836,546198,384638,179939,5088,3317,60174,152099,4232
Uttar Pradesh,Azamgarh,26.00829095477384,83.01220251256285,3939916,4613913,2771917,1559414,1212503,521004,20757,7888,159910,500400,12525
Uttar Pradesh,Baghpat,29.04579349999999,77.30266300000002,1163991,1303048,797970,489858,308112,114603,13301,6646,111663,155781,5073
Uttar Pradesh,Bahraich,27.69177630057803,81.46779783237004,2701478,3487731,1398368,878285,520083,397685,13451,3444,71676,270422,7146
Uttar Pradesh,Ballia,25.86075638297873,84.03651978723408,2760667,3239774,1963590,1160960,802630,324245,10846,5459,115533,342823,9000
Uttar Pradesh,Balrampur,27.449076537911324,82.47158326180256,1682350,2148665,868357,544943,323414,232350,6167,1616,34497,194750,4159
Uttar Pradesh,Banda,25.351885902503284,80.52487391304344,1501602,1799410,1002937,630626,372311,183817,5202,2416,52233,174698,3984
Uttar Pradesh,Bara Banki,26.922777025232424,81.35762350597606,2673581,3260699,1692458,1010518,681940,446335,11935,4799,116157,306578,7882
Uttar Pradesh,Bareilly,28.51101940789474,79.43187072368416,3618589,4448359,2191759,1342697,849062,456654,24436,23779,300504,481724,16535
Uttar Pradesh,Basti,26.83388045454545,82.69790590909092,2084814,2464464,1393783,819719,574064,309655,11477,4819,76856,278758,6268
Uttar Pradesh,Bijnor,29.313974259681096,78.45098815489754,3131619,3682713,2135393,1241471,893922,378636,17143,11084,260312,445114,12524
Uttar Pradesh,Bulandshahr,28.34875862068968,78.01082758620684,3009860,3499171,2031656,1253314,778342,321044,20979,13231,254050,410624,12104
Uttar Pradesh,Chandauli,25.1180859611231,83.25307062634984,1643251,1952756,1174606,699454,475152,220298,7313,4504,109887,190317,5441
Uttar Pradesh,Chitrakoot,25.159924623803,81.07666087551297,801957,991730,531072,330339,200733,105264,2805,1169,27006,84775,2101
Uttar Pradesh,Deoria,26.42218856548857,83.82440706860709,2714179,3100946,1875239,1079288,795951,353180,13388,6290,122308,379700,7260
Uttar Pradesh,Etah,27.591155309734443,78.70021858407083,1531645,1774480,1055202,647042,408160,189111,6644,3977,79090,200961,4968
Uttar Pradesh,Etawah,26.78817670157068,79.07621806282728,1338871,1581810,1062003,623583,438420,194564,7736,4343,84543,177997,5639
Uttar Pradesh,Faizabad,26.60589185185181,82.00783530864202,2088928,2470996,1450901,838339,612562,346448,15426,7250,99531,276720,8853
Uttar Pradesh,Farrukhabad,27.45063297872342,79.44062845744679,1570408,1885204,1092677,654827,437850,204261,6765,3701,87314,198066,5971
Uttar Pradesh,Fatehpur,25.8374362030905,80.8541620309051,2308384,2632733,1512166,911003,601163,331499,16758,4981,97968,271445,7211
Uttar Pradesh,Firozabad,27.20963993055552,78.42660624999998,2081752,2498156,1521806,912314,609492,278168,10940,8367,169583,283190,6591
Uttar Pradesh,Gautam Buddha Nagar,28.393311038961038,77.52462467532466,1105292,1648115,1122947,666065,456882,128362,78631,66759,232925,278982,34293
Uttar Pradesh,Ghaziabad,28.74997308584685,77.67441879350343,3314070,4681645,3123264,1811397,1311867,409265,119441,117483,592753,700485,60494
Uttar Pradesh,Ghazipur,25.624724775583488,83.5360854578097,3037582,3620268,2197549,1293553,903996,383511,21169,8142,139187,375976,10778
Uttar Pradesh,Gonda,27.157215552099505,82.0226888024882,2765586,3433919,1679994,1034181,645813,417980,13053,4944,78099,346478,9762
Uttar Pradesh,Gorakhpur,26.63315886792452,83.35495603773579,3769456,4440895,2700328,1593890,1106438,531565,30258,23177,255280,544038,17372
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,993792,1104285,358091,180555,177536,7094,6665,3438,86324,90286,19528
Uttar Pradesh,Hamirpur,25.73815838150289,79.82619479768789,993792,1104285,653299,408125,245174,99240,3791,1757,48564,137792,2839
Uttar Pradesh,Hardoi,27.337409090909137,80.26411767676768,3398306,4092845,2221601,1374587,847014,494925,12396,4764,132969,387803,10212
Uttar Pradesh,Jalaun,26.06795458715599,79.36686911314993,1454452,1689974,1075196,653430,421766,162840,7009,3599,90428,199931,6634
Uttar Pradesh,Jaunpur,25.70141280913127,82.54315351934063,3911679,4494204,2731677,1565394,1166283,534790,22876,9848,211780,515736,16965
Uttar Pradesh,Jhansi,25.45581535234902,78.89954580536917,1744931,1998603,1304513,783705,520808,194290,18860,15986,163900,270128,11278
Uttar Pradesh,Kannauj,26.993988617886185,79.64437940379408,1388923,1656616,1017087,603596,413491,178143,6011,2647,64187,174734,5981
Uttar Pradesh,Kanpur Dehat,26.43047641196011,79.98710083056478,1563336,1796184,1170243,692964,477279,220794,12752,3594,65556,184973,3816
Uttar Pradesh,Kaushambi,25.53587532051282,81.41811282051287,1291993,1599596,813424,507279,306145,210669,4403,1530,52946,154650,3275
Uttar Pradesh,Kushinagar,26.892530675909864,83.92261542461006,2891667,3564544,1954820,1183722,771098,432174,12849,3858,103014,404094,7032
Uttar Pradesh,Lalitpur,24.58877161016945,78.60082330508473,977734,1221592,641191,397586,243605,118185,5511,2163,53524,126482,3469
Uttar Pradesh,Lucknow,26.838233589251463,80.89706026871404,3647834,4589838,3127260,1742440,1384820,539667,90205,111961,506413,607420,57277
Uttar Pradesh,Mahoba,25.34529670138888,79.67863003472216,758379,875958,488106,302283,185823,85723,5755,1820,35422,113025,2331
Uttar Pradesh,Mainpuri,27.17386862302482,79.03501851015807,1596718,1868529,1203885,712110,491775,216358,7361,4061,76780,209597,4478
Uttar Pradesh,Mathura,27.59390432801821,77.62153416856502,2074516,2547184,1507746,943346,564400,212964,16580,16520,221574,318989,14830
Uttar Pradesh,Mau,26.01082203791469,83.50582654028433,1854950,2205968,1363044,773082,589962,228921,7411,3652,82073,232564,6358
Uttar Pradesh,Meerut,29.029576256983237,77.80611005586594,2973877,3443689,2141488,1254520,886968,331961,42392,41567,354359,440962,30303
Uttar Pradesh,Mirzapur,25.10207959183675,82.60126628571429,2074709,2496970,1428683,865837,562846,309079,10205,5703,136132,237437,7631
Uttar Pradesh,Moradabad,28.851770406189537,78.73580193423598,3810983,4772006,2263848,1357435,906413,399563,19316,18797,283005,504670,15527
Uttar Pradesh,Muzaffarnagar,29.470507977736567,77.64017847866424,3543362,4143512,2417339,1448528,968811,377807,32866,19878,331760,512592,17771
Uttar Pradesh,Pilibhit,28.52024175035868,79.90103974175037,1728108,2031007,1061095,654290,406805,242225,7560,3823,106945,205860,5136
