State,District,Latitude,Longitude,Population in 2001,Population in 2011,Literate,Male_Literate,Female_Literate,Households_with_Bicycle,Households_with_Car_Jeep_Van,Households_with_TV_Computer_Laptop_Telephone_mobile_phone_and_Scooter_Car,Households_with_Television,Households_with_Telephone_Mobile_Phone,Households_with_Telephone_Mobile_Phone_Both
Bihar,Begusarai,25.54302613168723,86.1256014403293,2349366,2970541,1548673,918507,630166,295852,9821,4767,76761,334335,10447
Bihar,Bhagalpur,25.27719288537548,87.04213814229243,2423172,3037766,1573066,937669,635397,220531,8644,8210,117040,308044,10349
Bihar,Bhojpur,25.50666439393939,84.49407803030304,2243144,2728407,1599151,973486,625665,206776,7391,4227,87879,268330,9622
Bihar,Buxar,25.48593018867924,84.08808081760995,1402396,1706352,989807,593544,396263,137996,5341,2034,48405,174119,4408
Bihar,Darbhanga,26.14618771929825,85.97387352472099,3295789,3937385,1816634,1125566,691068,320695,10325,5197,80085,440719,15973
Bihar,Gaya,24.726654154727804,84.94291217765044,3473428,4391418,2297613,1368803,928810,294227,11827,7865,107970,383973,10951
Bihar,Gopalganj,26.448743641618517,84.34636127167629,2152638,2562012,1382998,793905,589093,312727,9508,3571,61380,316314,6263
Bihar,Jamui,24.78418380462726,86.26316298200514,1398796,1760405,858588,534385,324203,113424,4842,1341,27056,159792,3712
Bihar,Jehanabad,25.15567904564316,84.9208124481328,926191,1125313,618881,374412,244469,69637,2522,1251,32086,100130,2527
Bihar,Katihar,25.565653560371512,87.70466083591326,2392638,3071029,1280190,762256,517934,285976,5118,2847,60110,239686,8052
Bihar,Khagaria,25.53558891454964,86.56593256351037,1280354,1666886,768028,461153,306875,99898,3120,1113,31220,159866,4837
Bihar,Kishanganj,26.32433675832129,87.95045007235886,1296348,1690400,745056,439921,305135,177516,2436,1022,28736,130592,4035
Bihar,Lakhisarai,25.183449321266966,86.1282570135747,802225,1000912,507270,305182,202088,49052,2415,747,31048,95917,2517
Bihar,Madhepura,25.77341929460581,86.8978443983403,1526646,2001762,834577,517666,316911,169936,4560,1231,23209,182773,5387
Bihar,Madhubani,26.41380538172716,86.16328360450552,3575281,4487379,2155338,1340085,815253,416574,11636,4200,73851,486531,14946
Bihar,Munger,25.19853796296297,86.54173672839504,1137797,1367765,801817,473741,328076,112707,3755,2838,69973,149671,4853
Bihar,Muzaffarpur,26.186644171779147,85.32745092024544,3746714,4801062,2509232,1487117,1022115,548802,23333,11643,172027,547479,18286
Bihar,Nalanda,25.229345508982053,85.48053113772461,2370528,2877653,1519933,919558,600375,121583,7955,3720,87070,273472,9650
Bihar,Nawada,24.825708836206907,85.61594568965519,1809696,2219146,1091012,659474,431538,75606,3991,1322,34020,182748,4704
Bihar,Patna,25.40297114503818,85.31984335877871,4718592,5838465,3459679,2028047,1431632,430595,49821,61156,453344,662665,33562
Bihar,Purnia,25.81714801901739,87.40447606973066,2543942,3264619,1332326,805261,527065,291919,8390,4252,63200,258284,7568
Bihar,Rohtas,24.99170460829495,83.93507626728109,2464243,2959918,1799832,1061783,738049,224824,10819,4727,106218,312557,8169
Bihar,Saharsa,25.821270696721307,86.54670819672134,1508182,1900661,804996,506374,298622,129847,3824,1688,30518,166317,5700
Bihar,Samastipur,25.793205563909765,85.94833323308269,3394793,4261566,2142880,1293575,849305,458268,10621,4320,84248,441421,11807
Bihar,Saran,25.89656077844312,84.82266287425155,3248701,3951862,2157454,1285767,871687,431759,10948,5009,128169,423960,9488
Bihar,Sheikhpura,25.12472436548223,85.77839390862944,525502,636342,328676,196431,132245,33652,1728,635,16279,61568,2362
Bihar,Sheohar,26.45838074866311,85.29539411764709,515961,656246,283698,171645,112053,73447,1410,430,11722,83296,1669
Bihar,Sitamarhi,26.565700696864127,85.61172491289203,2682720,3423574,1436794,885188,551606,317432,7292,3144,61089,340890,9864
Bihar,Siwan,26.1736372013652,84.33766552901022,2714349,3330464,1930175,1115906,814269,382782,10891,4088,74071,401299,8090
Bihar,Supaul,26.281578937728963,86.78496465201462,1732578,2229076,1033283,647672,385611,192734,4064,1099,26559,207212,5441
Bihar,Vaishali,25.8134703180212,85.39247597173153,2718421,3495021,1926740,1152576,774164,397202,11316,4366,101269,390123,9675
Chandigarh,Chandigarh,30.7426,76.75872465753423,900635,1055450,805438,465346,340092,135055,60494,67323,193932,209783,47345
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,1198067,1413199,650863,382335,268528,192012,4227,4002,50155,58619,4160
Chhattisgarh,Bilaspur,22.356942982456147,81.99770350877188,1998355,2663629,287620,155599,132021,5387,6573,2779,61392,66935,12284
Chhattisgarh,Bilaspur,22.356942982456147,81.99770350877188,1998355,2663629,1596560,932474,664086,345789,13137,17978,193337,177334,10847
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,706591,799781,546833,303924,242909,119931,3069,2686,67737,55660,3257
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,2810436,3343872,2303378,1284612,1018766,489008,28840,36672,343369,315664,27295
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,743160,851669,495415,280656,214759,100725,2442,1252,20512,35940,1575
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,1011823,1206640,748759,433391,315368,162148,8677,11842,95963,90312,6042
Chhattisgarh,Koriya,23.50412776859501,82.12515636363634,586327,658917,397823,229923,167900,67318,3402,3527,38765,50432,2753
Chhattisgarh,Mahasamund,21.22372703777336,82.65925427435384,860257,1032754,637963,364089,273874,175231,3546,2279,68012,65540,1915
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,1265529,1493984,951639,542756,408883,225249,5979,6693,98784,96724,5312
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,1265529,1493984,1939994,1059692,880302,136247,43536,53397,374021,453122,87201
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,3016930,4063872,2629749,1493158,1136591,549069,30572,39381,378113,340237,25785
Chhattisgarh,Surguja,23.327192787286076,83.23582493887531,1972094,2359886,1187941,694686,493255,277773,8096,6399,74614,118767,5868
Goa,North Goa,15.548723418714054,73.80667997909038,758573,818008,663060,351738,311322,41713,44342,40352,146307,158921,39555
Goa,South Goa,15.195278658183785,73.94179259687701,589095,640537,502427,264085,238342,37799,35031,31413,115535,128759,35584
Gujarat,Amreli,21.04832649310872,71.43457637825426,1393918,1514190,995459,558180,437279,96477,10236,6639,164282,222389,14618
Gujarat,Anand,22.282718206229863,72.57782051557454,1856872,2092745,1551253,874481,676772,172466,19352,20391,203467,244185,34679
Gujarat,Banas Kantha,24.25853896551725,71.93205252873561,2504244,3120506,1704923,1048402,656521,75914,22723,8302,144792,369986,16407
Gujarat,Bharuch,21.75787276237761,72.67326346710801,1370656,1551019,1118276,623047,495229,96508,21579,20255,178535,215142,26021
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,2469630,2880365,1887255,1087371,799884,238912,17517,18127,293361,400446,23109
Gujarat,Gandhinagar,23.19367979002625,72.67221679790026,1237168,1391753,1030494,582686,447808,121735,26385,25749,178594,204833,23010
Gujarat,Jamnagar,22.410600414263328,69.62062005768232,1904278,2160119,1396534,795140,601394,157250,20471,20728,270555,331968,27937
Gujarat,Junagadh,20.929523011609785,70.54733890140345,2448173,2743082,1842818,1046981,795837,189600,17447,15979,318954,406578,26859
Gujarat,Kachchh,23.48057203301311,68.82192301497915,1583225,2092371,1252319,739239,513080,83904,28788,21858,250397,339331,26105
Gujarat,Kheda,22.887653125000018,73.018803515625,2037894,2299885,1660243,942480,717763,146364,12788,12080,171342,218734,23201
Gujarat,Narmada,21.70666386292833,73.68403208722742,514404,590297,370336,211767,158569,29316,2442,1182,31194,43827,3170
Gujarat,Navsari,20.866973318871995,72.86184869848157,1229463,1329672,1001909,539471,462438,136665,18669,16602,153431,191691,25731
Gujarat,Patan,23.80634198473284,71.75162977099238,1182709,1343734,837913,494631,343282,66270,7802,5271,108006,176829,11039
Gujarat,Porbandar,21.550923516515716,69.71896987722886,536835,585449,393678,221621,172057,40784,4395,3545,80820,92715,6722
Gujarat,Rajkot,22.40603377715488,70.83679439383323,3169881,3804558,2725056,1514075,1210981,355586,55289,52563,571843,651936,62685
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,2082531,2428589,1578734,918625,660109,112045,22379,12807,180909,269423,37559
Gujarat,Surat,21.25761372772093,72.93488716344339,4275540,6081322,4571410,2687468,1883942,397563,106983,112976,788447,995637,100342
Gujarat,Surendranagar,22.82672007299272,71.48358740875906,1515148,1756268,1093626,643221,450405,135074,10088,8028,177591,246026,10457
Gujarat,The Dangs,20.801633877551023,73.68835183673471,186729,228291,140968,77314,63654,6914,991,271,9262,11148,1121
Gujarat,Vadodara,22.26133739279589,73.49433010291594,3641802,4165626,2893080,1614087,1278993,399901,72630,95845,497049,583926,83851
Gujarat,Valsad,20.44238231644259,72.91485847983449,1410553,1705678,1170657,655528,515129,119338,23938,21685,188248,242422,22085
Haryana,Ambala,30.3503672316384,76.94970310734456,1014411,1128350,818025,461288,356737,133676,26122,23884,172034,170149,30024
Haryana,Bhiwani,28.728868064516128,76.02110225806452,1425022,1634445,1069871,643158,426713,99232,16793,11346,176336,242718,11502
Haryana,Faridabad,28.148731097560983,77.3271853658537,1365465,1809733,1272739,734940,537799,170927,63470,64331,279652,302937,42136
Haryana,Fatehabad,29.57298318584072,75.54608716814157,806158,942011,557578,327471,230107,86268,14030,7830,107042,136196,10912
Haryana,Gurgaon,28.043894789579163,77.01935130260524,870539,1514432,1111116,638666,472450,103261,92934,86768,248024,274931,53812
Haryana,Hisar,29.23628731117825,75.84324682779452,1537117,1743931,1114311,670200,444111,147721,24642,21142,202588,259276,16651
Haryana,Jhajjar,28.59651868131869,76.61137142857146,880072,958405,676091,399480,276611,69952,14298,9674,128007,145032,10748
Haryana,Jind,29.45149821958457,76.29598575667653,1189827,1334152,832758,502049,330709,113068,15836,10485,160742,193577,14045
Haryana,Kaithal,29.960685390946487,76.37698930041155,946131,1074304,646529,385782,260747,95704,12792,8124,140195,153352,8646
Haryana,Karnal,29.703200647249204,76.87488025889972,1274183,1505324,978013,564516,413497,143754,26238,20819,215813,215865,17819
Haryana,Kurukshetra,30.05652659846548,76.78774680306903,825454,964655,646893,370828,276065,107683,20261,15839,143316,145855,18061
Haryana,Mahendragarh,28.1352161458333,76.14018072916659,812521,922088,630255,380440,249815,54810,8538,5827,88012,133653,9313
Haryana,Panchkula,30.700897142857126,76.97173238095236,468411,561293,405318,229862,175456,42737,29497,27786,88378,92486,23673
Haryana,Panipat,29.343521341463426,76.92895914634147,967449,1205437,786599,464136,322463,90548,17466,17705,162321,172677,13262
Haryana,Rewari,28.19164714828897,76.55956007604564,765351,900332,636947,375453,261494,71366,12161,10676,108753,137152,14923
Haryana,Rohtak,28.892517647058817,76.53123235294117,940128,1061204,747582,436025,311557,91682,16545,17402,150160,160621,13922
Haryana,Sirsa,29.63583446327684,74.90970480225988,1116649,1295189,782897,456968,325929,117760,24468,13695,150315,190983,17622
Himachal Pradesh,Bilaspur,31.378042290748898,76.65316079295157,340885,381956,287620,155599,132021,5387,6573,2779,61392,66935,12284
Himachal Pradesh,Bilaspur,31.378042290748898,76.65316079295157,340885,381956,1596560,932474,664086,345789,13137,17978,193337,177334,10847
Himachal Pradesh,Chamba,32.66741814595661,76.39354063116366,460887,519080,323842,186064,137778,1657,5074,2391,62233,73995,6783
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,412700,454768,358091,180555,177536,7094,6665,3438,86324,90286,19528
Himachal Pradesh,Hamirpur,31.67668481012659,76.49767088607594,412700,454768,653299,408125,245174,99240,3791,1757,48564,137792,2839
Himachal Pradesh,Kangra,32.14093603238864,76.41205910931173,1339030,1510075,1152640,606443,546197,38456,22727,12858,272579,274180,43145
Himachal Pradesh,Kinnaur,31.606671840659327,78.51613736263741,78334,84121,60699,36697,24002,190,2775,611,12925,16468,2660
Himachal Pradesh,Kullu,31.909119220779253,77.40922649350647,381571,437903,307672,174550,133122,2450,8479,3454,66910,79454,9049
Himachal Pradesh,Mandi,31.63580594059405,76.96556930693067,901344,999777,723747,393669,330078,10927,15958,8055,157314,172205,31335
Himachal Pradesh,Shimla,31.15572545180725,77.62573042168668,722502,814010,612642,342846,269796,2813,23107,10363,131450,161675,28920
Himachal Pradesh,Sirmaur,30.682764453961443,77.43184689507494,458593,529855,362645,205617,157028,16691,7459,3852,58902,75406,7787
Himachal Pradesh,Solan,31.03864311926604,76.94442140672783,500557,580320,428578,244372,184206,12426,15117,7887,94692,108699,22025
Himachal Pradesh,Una,31.58330388349513,76.18353932038835,448273,521173,399715,213281,186434,41378,8059,5342,88894,90729,12776
Jharkhand,Bokaro,23.6814965034965,85.98398374125864,1777662,2062330,1273520,759088,514432,247231,21098,22508,179570,239204,12765
Jharkhand,Chatra,24.11619945750453,84.93295804701627,808135,1042886,510061,303902,206159,90400,2110,852,17627,82823,1835
Jharkhand,Deoghar,24.33070100755672,86.75697632241814,1165390,1492073,793538,489837,303701,174959,3714,3384,64890,126305,3075
Jharkhand,Dhanbad,23.854509090909094,86.40372924901185,2397102,2684487,1722204,1014950,707254,283681,18631,23334,290580,328776,11094
Jharkhand,Dumka,24.275006125574265,87.27662450229711,1106521,1321442,672409,406275,266134,175375,2912,1785,32443,75323,2170
Jharkhand,Garhwa,24.08211468926553,83.68664265536722,1035464,1322784,653476,405161,248315,108161,2671,934,21864,100748,1764
Jharkhand,Giridih,24.30578509874329,86.08710915619386,1905343,2445474,1253475,783736,469739,226550,6290,3341,63911,242670,4373
Jharkhand,Godda,24.8189,87.29417354838709,1047939,1313551,604519,376212,228307,133332,1754,1458,25764,89533,2365
Jharkhand,Gumla,23.078532948929148,84.55056787479396,832447,1025213,559720,321795,237925,130700,2181,1114,18701,55186,1416
Jharkhand,Jamtara,23.97873318077801,86.95325080091534,653081,791042,426312,258260,168052,116861,1632,1057,31194,55601,1125
Jharkhand,Latehar,23.72511185840708,84.48298743362838,560894,726978,350682,209706,140976,63127,1268,440,10697,39512,1169
Jharkhand,Lohardaga,23.488796043165483,84.6605169064748,364521,461790,259707,149568,110139,66235,1102,677,12504,32713,666
Jharkhand,Pakur,24.57260428082189,87.69691969178076,701664,900422,352881,206989,145892,102037,923,605,16500,39592,1349
Jharkhand,Palamu,24.196925968109337,84.20310842824594,1537465,1939869,1024563,621706,402857,159105,8015,2931,51012,167482,4255
Jharkhand,Ranchi,23.18423506139155,85.31781937244203,2350245,2914253,1911433,1085244,826189,344888,34053,43660,247137,334055,21695
Jharkhand,Sahibganj,24.93667989690721,87.68264097938143,927770,1150567,483263,287303,195960,95511,1285,808,24604,64808,2605
Jharkhand,Simdega,22.60876039119805,84.59193691931536,514320,599578,343483,191991,151492,86022,1158,476,7606,27504,1096
Karnataka,Bagalkot,16.15860676328503,75.64526070853469,1651892,1889752,1113412,641388,472024,153879,9726,7247,161280,234284,14687
Karnataka,Bangalore Rural,12.936827087794446,77.47369314775169,850968,990923,688749,385311,303438,93908,10389,7181,156967,165588,7675
Karnataka,Belgaum,16.16107219152853,74.72329042357275,4214505,4779661,3052032,1725548,1326484,519937,35104,31642,468274,641485,50322
Karnataka,Bellary,15.074377548209371,76.47228471074374,2027140,2452595,1421621,813440,608181,164714,14163,17678,291101,327050,17603
Karnataka,Bidar,17.950361730769227,77.1945996153846,1502373,1703300,1042673,597198,445475,102869,9724,6751,116314,187983,17454
Karnataka,Bijapur,16.84015316666667,75.95909166666667,1806918,2177331,86919,54076,32843,16830,305,156,4215,5033,501
Karnataka,Bijapur,16.84015316666667,75.95909166666667,1806918,2177331,1248268,730566,517702,161995,11722,9673,164015,284523,15318
Karnataka,Chitradurga,14.29102220394736,76.57821957236844,1517896,1659456,1087392,607188,480204,102607,7425,6484,174344,206637,19601
Karnataka,Davanagere,14.330414586709884,75.91723841166937,1790952,1945497,1308540,720637,587903,146389,15449,15464,256051,284572,21280
Karnataka,Dharwad,15.34383137697517,75.13831264108359,1604253,1847023,1301664,711776,589888,111313,21127,27168,233604,266330,30610
Karnataka,Gadag,15.507128256880744,75.64861302752298,971835,1064570,700177,397178,302999,73191,5205,4457,104708,128416,9204
Karnataka,Gulbarga,17.070459515951594,76.87503850385032,2174742,2566326,1427368,828359,599009,118463,12872,16365,222126,307848,16557
Karnataka,Hassan,12.945098749999998,76.11049549999997,1721669,1776421,1225256,668836,556420,138247,14979,9263,272295,307439,27395
Karnataka,Haveri,14.73758280922432,75.3961230607966,1439116,1597668,1085443,603793,481650,117943,5681,4509,155076,194815,9700
Karnataka,Kodagu,12.39684468085106,75.79336595744687,548561,554519,412877,215302,197575,20075,16963,4548,83016,104109,24777
Karnataka,Kolar,13.312799881235172,78.01376947743476,1387062,1536401,1016219,564110,452109,127046,9208,10291,209698,223139,22185
Karnataka,Koppal,15.651253271028034,76.16170485981309,1196089,1389920,809085,468785,340300,97577,6211,4246,113995,166636,9505
Karnataka,Mandya,12.574901806239744,76.81570098522172,1763705,1805769,1149649,638668,510981,192330,8188,6547,236020,265094,15234
Karnataka,Mysore,12.248100259403367,76.52881802853437,2641027,3001127,1962180,1063766,898414,252546,40420,49016,441131,472605,38821
Karnataka,Raichur,16.050795353982295,76.87368606194688,1669762,1928812,979769,577213,402556,120959,11104,8915,162411,242634,12001
Karnataka,Shimoga,14.063845885634592,75.17882078103197,1642545,1752753,1263016,674938,588078,165796,20781,16632,259899,299155,33676
Karnataka,Tumkur,13.592467760074973,77.02297966260545,2584711,2678980,1813391,1006024,807367,276586,14929,16675,321848,372910,33669
Karnataka,Udupi,13.450404228534568,74.72009990316337,1112243,1177361,926429,465704,460725,79637,21349,13822,173033,220948,52148
Kerala,Alappuzha,9.542602965599087,76.38010796263319,2109160,2127789,1852797,890552,962245,229196,42404,41112,425707,466736,151837
Kerala,Ernakulam,10.004879301987431,76.26957729035381,3105798,3282388,2855676,1425723,1429953,250078,135307,132533,696129,741106,286440
Kerala,Idukki,9.80480963855423,77.04586641566264,1129221,1108974,923010,471881,451129,19378,21976,11163,207519,247060,71343
Kerala,Kannur,11.941523076923056,75.35209891725934,2408956,2523003,2138434,1012956,1125478,66300,44108,34105,423337,503214,193231
Kerala,Kasaragod,12.33310309912974,75.07768497134369,1204078,1307375,1037492,516476,521016,27736,19438,12210,179664,239445,95824
Kerala,Kollam,8.929388820570157,76.63607758524309,2585208,2635375,2240273,1074345,1165928,157906,58867,42989,525754,569631,192362
Kerala,Kottayam,9.643701174068417,76.46059673302705,1953646,1974551,1749798,861592,888206,76041,73096,50903,406922,451226,202339
Kerala,Kozhikode,11.392924270557025,75.71158720159153,2879131,3086293,2615443,1266939,1348504,94227,54277,51258,490719,632201,238753
Kerala,Malappuram,10.97329875666072,75.93910775606876,3625471,4112920,3311315,1597404,1713911,96908,59145,43503,485406,720497,218598
Kerala,Palakkad,10.784926903553291,76.49980490693744,2617482,2809934,2239492,1122600,1116892,101999,43458,36289,447169,533223,136371
Kerala,Thiruvananthapuram,8.537101759082223,76.88711502868074,3234356,3301427,2785408,1354857,1430551,136964,96456,94612,658734,697741,204592
Kerala,Thrissur,10.458932647907687,76.12321940836945,2974232,3121200,2678548,1282261,1396287,248933,84016,79552,616644,671105,252806
Kerala,Wayanad,11.715277464788734,76.07587007042254,780619,817420,645585,328136,317449,15359,13027,6438,109972,155220,47065
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,667155,749237,436595,254120,182475,84977,2895,3062,41067,57032,3122
Madhya Pradesh,Ashoknagar,24.630988461538447,77.82974493927135,688940,845071,469109,290304,178805,43637,2373,1332,42898,81251,2830
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380795,1497968,1701698,1147623,626468,521155,252422,4045,4072,82475,100910,7328
Madhya Pradesh,Barwani,21.702135714285728,74.91004719710673,1086366,1385881,549926,313642,236284,51163,3102,2713,48847,70169,3955
Madhya Pradesh,Betul,21.964626315789477,77.78734281891171,1395175,1575362,939769,529783,409986,114524,5740,5615,94586,121106,11232
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,1428559,1703005,1094917,676513,418404,165675,4463,2276,75539,177168,2561
Madhya Pradesh,Bhopal,23.48072614379085,77.39246623093679,1843510,2371061,1660690,920314,740376,159808,60383,73852,339750,353909,45536
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,634883,757847,408679,233073,175606,37369,2142,2394,58527,55999,5140
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,1474723,1762375,943033,572010,371023,197839,6206,4684,82967,180063,5528
